row_id,issue,subject,company,response,product_area,status,request_type,justification,escalation_reason,confidence,detected_language,retries,is_multi_request
1,"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I'm sorry to hear that you've lost access to your Claude team workspace. However, as stated in our support policies, team and enterprise workspace access is managed by the workspace admin. If you've been removed by an admin, you won't be able to restore your own access. I recommend reaching out to your workspace admin or IT department to request that they reinstate your access. For further assistance with login issues, you can also visit support.anthropic.com.",account_management,replied,product_issue,"User lost access due to admin removal, which is managed by workspace admin",,1.0,en,0,False
2,"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We can't modify your test score or override the recruiter's decision. For score disputes, please contact the recruiter or hiring team directly. They will be able to review your results and make decisions about the next steps in the process.",assessments,replied,product_issue,"HackerRank cannot modify scores or override recruiter decisions, as per hr_005.",,0.68,en,0,False
3,"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"To resolve the issue with the wrong product, please contact the merchant first. If the issue is not resolved, you can dispute the transaction by contacting your issuing bank directly. They will guide you through the process, which must be initiated within 60-120 days of the statement date. Please gather the merchant's name, date of transaction, amount, and any communication with the merchant. Unfortunately, Visa cannot ban specific merchants or process refunds directly.",disputes,replied,product_issue,"The user's issue falls under disputing a transaction or charge, which is handled by the issuing bank, not Visa directly.",,0.4,en,0,False
4,"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Sorry to hear that your mock interviews stopped working. For refund requests, please note that they are reviewed case-by-case within 30 days. For billing disputes, you can reach out to billing@hackerrank.com. Please provide your order ID and a detailed description of the issue you're facing, and our team will look into it.",billing,escalated,product_issue,"The user is requesting a refund due to a technical issue, which requires a case-by-case review.",Refund request due to technical issue,0.12,en,0,False
5,I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"For payment issues, please contact billing@hackerrank.com with your order ID: cs_live_abcdefgh. They will be able to assist you with your concern.",billing,replied,product_issue,User is experiencing a payment issue and needs to contact the billing department,,0.38,en,1,False
6,"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99810, Requested 2227. Please try again in 29m19.967999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.3,en,4,False
7,i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99765, Requested 2226. Please try again in 28m40.224s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.2,en,4,False
8,none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99719, Requested 2281. Please try again in 28m48s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.12,en,4,False
9,"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99673, Requested 2289. Please try again in 28m15.168s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.25,en,4,False
10,"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99627, Requested 2269. Please try again in 27m18.144s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.55,en,4,False
11,"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99581, Requested 1294. Please try again in 12m36s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.42,en,4,False
12,"it’s not working, help",Help needed,None,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99535, Requested 2078. Please try again in 23m13.631999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.03,en,4,False
13,"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99490, Requested 2248. Please try again in 25m1.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.45,pt,4,False
14,"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99443, Requested 2266. Please try again in 24m36.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.25,en,4,False
15,"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99397, Requested 2257. Please try again in 23m49.056s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.25,en,4,False
16,"My identity has been stolen, wat should I do",Identity Theft,Visa,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99351, Requested 2237. Please try again in 22m52.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.5,en,4,False
17,Resume Builder is Down,Help in creating resume,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99306, Requested 2061. Please try again in 19m41.088s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.38,en,4,False
18,"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update,HackerRank,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99260, Requested 2210. Please try again in 21m10.08s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.53,en,4,False
19,How do I dispute a charge,Dispute charge,Visa,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99214, Requested 2076. Please try again in 18m34.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.28,en,4,False
20,"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,We encountered an issue processing your request. Please contact support directly.,technical_support,escalated,product_issue,"Rate limit after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kkp4qt19ffqry3110g5wb6gv` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99168, Requested 2239. Please try again in 20m15.648s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",API failure — manual review required,0.68,en,4,False
